14/07/2025 19:10:57, Desconhecido, NEGADO
14/07/2025 19:10:57, Desconhecido, NEGADO
14/07/2025 19:10:57, Desconhecido, NEGADO
14/07/2025 19:10:58, Desconhecido, NEGADO
14/07/2025 19:10:58, Desconhecido, NEGADO
14/07/2025 19:10:58, Desconhecido, NEGADO
14/07/2025 19:10:59, Desconhecido, NEGADO
14/07/2025 19:10:59, Desconhecido, NEGADO
14/07/2025 19:10:59, Desconhecido, NEGADO
14/07/2025 19:11:00, Desconhecido, NEGADO
14/07/2025 19:11:01, gabzz, LIBERADO
14/07/2025 19:11:11, Desconhecido, NEGADO
14/07/2025 19:11:11, Desconhecido, NEGADO
14/07/2025 19:11:11, Desconhecido, NEGADO
14/07/2025 19:11:12, Desconhecido, NEGADO
14/07/2025 19:11:12, Desconhecido, NEGADO
14/07/2025 19:11:12, Desconhecido, NEGADO
14/07/2025 19:11:13, Desconhecido, NEGADO
14/07/2025 19:11:13, Desconhecido, NEGADO
14/07/2025 19:11:14, Desconhecido, NEGADO
14/07/2025 19:11:14, gabzz, LIBERADO
14/07/2025 19:11:29, Desconhecido, NEGADO
14/07/2025 19:11:29, Desconhecido, NEGADO
14/07/2025 19:11:29, Desconhecido, NEGADO
14/07/2025 19:11:30, Desconhecido, NEGADO
14/07/2025 19:11:30, Desconhecido, NEGADO
14/07/2025 19:11:30, Desconhecido, NEGADO
14/07/2025 19:11:31, Desconhecido, NEGADO
14/07/2025 19:11:31, Desconhecido, NEGADO
14/07/2025 19:11:31, Desconhecido, NEGADO
14/07/2025 19:11:32, Desconhecido, NEGADO
14/07/2025 19:11:32, Desconhecido, NEGADO
14/07/2025 19:11:32, Desconhecido, NEGADO
14/07/2025 19:12:12, Desconhecido, NEGADO
14/07/2025 19:12:13, Desconhecido, NEGADO
14/07/2025 19:12:13, Desconhecido, NEGADO
14/07/2025 19:12:13, Desconhecido, NEGADO
14/07/2025 19:12:14, Desconhecido, NEGADO
14/07/2025 19:12:14, Desconhecido, NEGADO
14/07/2025 19:12:14, Desconhecido, NEGADO
14/07/2025 19:12:15, Desconhecido, NEGADO
14/07/2025 19:12:15, Desconhecido, NEGADO
14/07/2025 19:12:16, Desconhecido, NEGADO
14/07/2025 19:12:16, Desconhecido, NEGADO
14/07/2025 19:12:16, Desconhecido, NEGADO
14/07/2025 19:12:17, Desconhecido, NEGADO
14/07/2025 19:12:17, Desconhecido, NEGADO
14/07/2025 19:12:17, Desconhecido, NEGADO
14/07/2025 19:12:18, Desconhecido, NEGADO
14/07/2025 19:12:18, Desconhecido, NEGADO
14/07/2025 19:12:18, Desconhecido, NEGADO
14/07/2025 19:12:19, Desconhecido, NEGADO
14/07/2025 19:12:19, Desconhecido, NEGADO
14/07/2025 19:12:20, Desconhecido, NEGADO
14/07/2025 19:12:21, Desconhecido, NEGADO
14/07/2025 19:12:21, Desconhecido, NEGADO
14/07/2025 19:12:21, Desconhecido, NEGADO
14/07/2025 19:12:22, Desconhecido, NEGADO
14/07/2025 19:12:22, Desconhecido, NEGADO
14/07/2025 19:12:22, Desconhecido, NEGADO
14/07/2025 19:12:23, Desconhecido, NEGADO
14/07/2025 19:12:23, Desconhecido, NEGADO
14/07/2025 19:12:23, Desconhecido, NEGADO
14/07/2025 19:12:24, gabzz, LIBERADO
14/07/2025 19:14:12, gabzz, LIBERADO
14/07/2025 19:14:22, gabzz, LIBERADO
14/07/2025 20:14:26, Desconhecido, NEGADO
14/07/2025 20:14:28, Desconhecido, NEGADO
14/07/2025 20:14:30, Desconhecido, NEGADO
14/07/2025 20:14:32, Desconhecido, NEGADO
14/07/2025 20:14:33, Desconhecido, NEGADO
14/07/2025 20:14:35, Desconhecido, NEGADO
14/07/2025 20:14:36, Desconhecido, NEGADO
14/07/2025 20:16:58, Desconhecido, NEGADO
14/07/2025 20:16:59, Desconhecido, NEGADO
14/07/2025 20:17:01, Desconhecido, NEGADO
14/07/2025 20:17:02, Desconhecido, NEGADO
14/07/2025 20:17:05, Desconhecido, NEGADO
14/07/2025 20:17:06, Desconhecido, NEGADO
14/07/2025 20:17:07, Desconhecido, NEGADO
14/07/2025 20:17:09, Desconhecido, NEGADO
14/07/2025 20:17:10, Desconhecido, NEGADO
14/07/2025 20:19:41, Desconhecido, NEGADO
14/07/2025 20:19:43, Desconhecido, NEGADO
14/07/2025 20:19:44, Desconhecido, NEGADO
14/07/2025 20:19:45, Desconhecido, NEGADO
14/07/2025 20:19:46, Desconhecido, NEGADO
14/07/2025 20:19:48, Desconhecido, NEGADO
14/07/2025 20:19:49, Desconhecido, NEGADO
14/07/2025 20:19:50, Desconhecido, NEGADO
14/07/2025 20:19:54, Desconhecido, NEGADO
14/07/2025 20:19:55, Desconhecido, NEGADO
14/07/2025 20:19:56, Desconhecido, NEGADO
14/07/2025 20:19:58, Desconhecido, NEGADO
14/07/2025 20:19:59, Desconhecido, NEGADO
14/07/2025 20:20:01, Desconhecido, NEGADO
14/07/2025 20:20:02, Desconhecido, NEGADO
14/07/2025 20:20:55, Desconhecido, NEGADO
14/07/2025 20:20:56, Desconhecido, NEGADO
14/07/2025 20:20:57, Desconhecido, NEGADO
14/07/2025 20:20:59, Desconhecido, NEGADO
14/07/2025 20:21:00, Desconhecido, NEGADO
14/07/2025 20:21:01, Desconhecido, NEGADO
14/07/2025 20:21:02, Desconhecido, NEGADO
14/07/2025 20:23:32, Desconhecido, NEGADO
14/07/2025 20:23:33, Desconhecido, NEGADO
14/07/2025 20:23:35, Desconhecido, NEGADO
14/07/2025 20:23:36, Desconhecido, NEGADO
14/07/2025 20:23:37, Desconhecido, NEGADO
14/07/2025 20:23:41, Desconhecido, NEGADO
14/07/2025 20:23:42, Desconhecido, NEGADO
14/07/2025 20:23:44, Desconhecido, NEGADO
14/07/2025 20:23:45, Desconhecido, NEGADO
14/07/2025 20:23:46, Desconhecido, NEGADO
14/07/2025 20:23:47, Desconhecido, NEGADO
14/07/2025 20:23:49, Desconhecido, NEGADO
14/07/2025 20:23:50, Desconhecido, NEGADO
14/07/2025 20:23:51, Desconhecido, NEGADO
14/07/2025 20:23:53, Desconhecido, NEGADO
14/07/2025 20:23:54, Desconhecido, NEGADO
14/07/2025 20:23:55, Desconhecido, NEGADO
14/07/2025 20:23:56, Desconhecido, NEGADO
14/07/2025 20:26:32, Desconhecido, NEGADO
14/07/2025 20:26:33, Desconhecido, NEGADO
14/07/2025 20:26:34, Desconhecido, NEGADO
14/07/2025 20:26:35, Desconhecido, NEGADO
14/07/2025 20:26:37, Desconhecido, NEGADO
14/07/2025 20:26:38, Desconhecido, NEGADO
14/07/2025 20:26:39, Desconhecido, NEGADO
14/07/2025 20:26:40, Desconhecido, NEGADO
14/07/2025 20:26:42, Desconhecido, NEGADO
14/07/2025 20:27:24, Desconhecido, NEGADO
14/07/2025 20:27:25, Desconhecido, NEGADO
14/07/2025 20:27:26, Desconhecido, NEGADO
